Codice_Interno;Descrizione;Produttore;Codice Produttore
27134;BIDET SOSPESO FORM SQUARE - monoforo;ALICE;22310101
2714002;Lavabo BOHEME - Cm 70 monoforo;ALICE;28230101
2714102;COLONNA BOHEME - Bianca;ALICE;28240101
2714202;Vaso BOHEME - Vaso sc. parete;ALICE;28200101
2714204;Vaso BOHEME - Vaso sc. terra;ALICE;28210101
2714402;VASO MONOBLOCCO BOHEME - Scarico a terra;ALICE;28280101
2714404;VASO MONOBLOCCO BOHEME - Scarico a parete;ALICE;28290101
2714502;CASSETTA MONOBLOCCO BOHEME - Attacco sotto;ALICE;28300101
2714602;Bidet BOHEME - Monoforo;ALICE;28220101
2714702;CASSETTA ALTA BOHEME - -;ALICE;28320101
2714902;COPERCHIO PER CASSETTA ALTA BOHEME - -;ALICE;28310101
27150P;VASO-BIDET CONFORT 40 CHIUSO Scarico parete;ALICE;100113
27154;VASO-BIDET CONFORT 50 CHIUSO Scarico pavimento;ALICE;100102
0680504;RACCORDO OTTONE PER TUBO FERRO M - 1/2;AMG SPA;1191008
0680505;RACCORDO OTTONE PER TUBO FERRO M - 3/4;AMG SPA;1191009
0680704;RACCORDO OTTONE PER TUBO FERRO F - 1/2;AMG SPA;1190808
0680705;RACCORDO OTTONE PER TUBO FERRO F - 3/4;AMG SPA;1190809
0680706;RACCORDO OTTONE PER TUBO FERRO F - 1";AMG SPA;1190810
094511604;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 16 x 1/2;APE RACCORDERIE;3701L01216
094511605;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 16 x 3/4;APE RACCORDERIE;3701L03416
094512004;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 20 x 1/2;APE RACCORDERIE;3701L01220
094512005;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 20 x 3/4;APE RACCORDERIE;3701L03420
094512605;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 26 x 3/4;APE RACCORDERIE;3701L03426
094512606;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 26 x 1";APE RACCORDERIE;3701L00126
094513206;RACCORDO DIRITTO MASCHIO A STRINGERE APE - 32 x 1";APE RACCORDERIE;3701L00132
094551616;RACCORDO DIRITTO DOPPIO A STRINGERE APE - 16 x 16;APE RACCORDERIE;3703L01616
094552020;RACCORDO DIRITTO DOPPIO A STRINGERE APE - 20 x 20;APE RACCORDERIE;3703L02020
094552626;RACCORDO DIRITTO DOPPIO A STRINGERE APE - 26 x 26;APE RACCORDERIE;3703L02626
094553232;RACCORDO DIRITTO DOPPIO A STRINGERE APE - 32 x 32;APE RACCORDERIE;3703L03232
094572016;RACCORDO DIRITTO DOPPIO RIDOTTO A STRINGERE APE - 20 x 16;APE RACCORDERIE;3703L02016
094572620;RACCORDO DIRITTO DOPPIO RIDOTTO A STRINGERE APE - 26 x 20;APE RACCORDERIE;3703L02620
094591604;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 16 x 1/2;APE RACCORDERIE;3702L01216
094591605;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 16 x 3/4;APE RACCORDERIE;3702L03416
094592004;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 20 x 1/2;APE RACCORDERIE;3702L01220
094592005;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 20 x 3/4;APE RACCORDERIE;3702L03420
094592605;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 26 x 3/4;APE RACCORDERIE;3702L03426
094592606;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 26 x 1";APE RACCORDERIE;3702L00126
094593206;RACCORDO DIRITTO FEMMINA A STRINGERE APE - 32 x 1";APE RACCORDERIE;3702L00132
094611616;RACCORDO CURVO DOPPIO A STRINGERE APE - 16 x 16;APE RACCORDERIE;3751L01616
094612020;RACCORDO CURVO DOPPIO A STRINGERE APE - 20 x 20;APE RACCORDERIE;3751L02020
094612626;RACCORDO CURVO DOPPIO A STRINGERE APE - 26 x 26;APE RACCORDERIE;3751L02626
094613232;RACCORDO CURVO DOPPIO A STRINGERE APE - 32 x 32;APE RACCORDERIE;3751L03232
094631604;RACCORDO CURVO MASCHIO A STRINGERE APE - 16 x 1/2;APE RACCORDERIE;3753L01216
094632004;RACCORDO CURVO MASCHIO A STRINGERE APE - 20 x 1/2;APE RACCORDERIE;3753L01220
094632005;RACCORDO CURVO MASCHIO A STRINGERE APE - 20 x 3/4;APE RACCORDERIE;3753L03420
094632605;RACCORDO CURVO MASCHIO A STRINGERE APE - 26 x 3/4;APE RACCORDERIE;3753L03426
094632606;RACCORDO CURVO MASCHIO A STRINGERE APE - 26 x 1";APE RACCORDERIE;3753L00126
094651604;RACCORDO CURVO FEMMINA A STRINGERE APE - 16 x 1/2;APE RACCORDERIE;3752L01216
094652004;RACCORDO CURVO FEMMINA A STRINGERE APE - 20 x 1/2;APE RACCORDERIE;3752L01220
094652005;RACCORDO CURVO FEMMINA A STRINGERE APE - 20 x 3/4;APE RACCORDERIE;3752L03420
094652605;RACCORDO CURVO FEMMINA A STRINGERE APE - 26 x 3/4;APE RACCORDERIE;3752L03426
094652606;RACCORDO CURVO FEMMINA A STRINGERE APE - 26 x 1";APE RACCORDERIE;3752L00126
094653206;RACCORDO CURVO FEMMINA A STRINGERE APE - 32 x 1";APE RACCORDERIE;3752L00132
094671604;RACCORDO CURVO FEMMINA CON FLANGIA A STRINGERE APE - 16 x 1/2;APE RACCORDERIE;3754L01216
094672004;RACCORDO CURVO FEMMINA CON FLANGIA A STRINGERE APE - 20 x 1/2;APE RACCORDERIE;3754L01220
094691616;RACCORDO A TEE A STRINGERE APE - 16 x 16 x 16;APE RACCORDERIE;37TL161616
094692020;RACCORDO A TEE A STRINGERE APE - 20 x 20 x 20;APE RACCORDERIE;37TL202020
094692626;RACCORDO A TEE A STRINGERE APE - 26 x 26 x 26;APE RACCORDERIE;37TL262626
094693232;RACCORDO A TEE A STRINGERE APE - 32 x 32 x 32;APE RACCORDERIE;37TL323232
094711604;RACCORDO A TEE MASCHIO A STRINGERE APE - 16 x 1/2 x 16;APE RACCORDERIE;3733L01216
094712004;RACCORDO A TEE MASCHIO A STRINGERE APE - 20 x 1/2 x 20;APE RACCORDERIE;3733L01220
094712005;RACCORDO A TEE MASCHIO A STRINGERE APE - 20 x 3/4 x 20;APE RACCORDERIE;3733L03420
094712605;RACCORDO A TEE MASCHIO A STRINGERE APE - 26 x 3/4 x 26;APE RACCORDERIE;3733L03426
094713206;RACCORDO A TEE MASCHIO A STRINGERE APE - 32 x 1" x 32;APE RACCORDERIE;3733L00132
094731604;RACCORDO A TEE FEMMINA A STRINGERE APE - 16 x 1/2 x 16;APE RACCORDERIE;3732L01216
094732004;RACCORDO A TEE FEMMINA A STRINGERE APE - 20 x 1/2 x 20;APE RACCORDERIE;3732L01220
094732005;RACCORDO A TEE FEMMINA A STRINGERE APE - 20 x 3/4 x 20;APE RACCORDERIE;3732L03420
094732605;RACCORDO A TEE FEMMINA A STRINGERE APE - 26 x 3/4 x 26;APE RACCORDERIE;3732L03426
094733206;RACCORDO A TEE FEMMINA A STRINGERE APE - 32 x 1" x 32;APE RACCORDERIE;3732L00132
097301604;RACCORDO DIRITTO MASCHIO APE PRESS - 16 x 1/2;APE RACCORDERIE;ARL1003100
097302004;RACCORDO DIRITTO MASCHIO APE PRESS - 20 x 1/2;APE RACCORDERIE;ARL1003200
097302005;RACCORDO DIRITTO MASCHIO APE PRESS - 20 x 3/4;APE RACCORDERIE;ARL1004200
097302605;RACCORDO DIRITTO MASCHIO APE PRESS - 26 x 3/4;APE RACCORDERIE;ARL1004300
097302606;RACCORDO DIRITTO MASCHIO APE PRESS - 26 x 1";APE RACCORDERIE;ARL1010300
097303206;RACCORDO DIRITTO MASCHIO APE PRESS - 32 x 1";APE RACCORDERIE;ARL1010400
097311604;RACCORDO DIRITTO FEMMINA APE PRESS - 16 x 1/2;APE RACCORDERIE;ARL1103100
097312004;RACCORDO DIRITTO FEMMINA APE PRESS - 20 x 1/2;APE RACCORDERIE;ARL1103200
097312005;RACCORDO DIRITTO FEMMINA APE PRESS - 20 x 3/4;APE RACCORDERIE;ARL1104200
097312605;RACCORDO DIRITTO FEMMINA APE PRESS - 26 x 3/4;APE RACCORDERIE;ARL1104300
097312606;RACCORDO DIRITTO FEMMINA APE PRESS - 26 x 1";APE RACCORDERIE;ARL1110300
097313206;RACCORDO DIRITTO FEMMINA APE PRESS - 32 x 1";APE RACCORDERIE;ARL1110400
097321616;RACCORDO DIRITTO INTERMEDIO APE PRESS - 16 x 16;APE RACCORDERIE;ARL1200110
097322020;RACCORDO DIRITTO INTERMEDIO APE PRESS - 20 x 20;APE RACCORDERIE;ARL1200220
097322626;RACCORDO DIRITTO INTERMEDIO APE PRESS - 26 x 26;APE RACCORDERIE;ARL1200330
097323232;RACCORDO DIRITTO INTERMEDIO APE PRESS - 32 x 32;APE RACCORDERIE;ARL1200440
097332016;RACCORDO DIRITTO INTERMEDIO RIDOTTO APE PRESS - 20 x 16;APE RACCORDERIE;ARL1300210
097332620;RACCORDO DIRITTO INTERMEDIO RIDOTTO APE PRESS - 26 x 20;APE RACCORDERIE;ARL1300320
097333226;RACCORDO DIRITTO INTERMEDIO RIDOTTO APE PRESS - 32 x 26;APE RACCORDERIE;ARL1300430
097341616;RACCORDO A GOMITO INTERMEDIO APE PRESS - 16 x 16;APE RACCORDERIE;ARL3200110
097342020;RACCORDO A GOMITO INTERMEDIO APE PRESS - 20 x 20;APE RACCORDERIE;ARL3200220
097342626;RACCORDO A GOMITO INTERMEDIO APE PRESS - 26 x 26;APE RACCORDERIE;ARL3200330
097343232;RACCORDO A GOMITO INTERMEDIO APE PRESS - 32 x 32;APE RACCORDERIE;ARL3200440
097351604;RACCORDO A GOMITO MASCHIO APE PRESS - 16 x 1/2;APE RACCORDERIE;ARL3003100
097352004;RACCORDO A GOMITO MASCHIO APE PRESS - 20 x 1/2;APE RACCORDERIE;ARL3003200
097352005;RACCORDO A GOMITO MASCHIO APE PRESS - 20 x 3/4;APE RACCORDERIE;ARL3004200
097352605;RACCORDO A GOMITO MASCHIO APE PRESS - 26 x 3/4;APE RACCORDERIE;ARL3004300
097353206;RACCORDO A GOMITO MASCHIO APE PRESS - 32 x 1";APE RACCORDERIE;ARL3010400
097361604;RACCORDO A GOMITO FEMMINA APE PRESS - 16 x 1/2;APE RACCORDERIE;ARL3103100
097362004;RACCORDO A GOMITO FEMMINA APE PRESS - 20 x 1/2;APE RACCORDERIE;ARL3103200
097362005;RACCORDO A GOMITO FEMMINA APE PRESS - 20 x 3/4;APE RACCORDERIE;ARL3104200
097362605;RACCORDO A GOMITO FEMMINA APE PRESS - 26 x 3/4;APE RACCORDERIE;ARL3104300
097363206;RACCORDO A GOMITO FEMMINA APE PRESS - 32 x 1";APE RACCORDERIE;ARL3110400
097371604;RACCORDO A GOMITO CON FLANGIA APE PRESS - 16 x 1/2;APE RACCORDERIE;3AP1541216
097372004;RACCORDO A GOMITO CON FLANGIA APE PRESS - 20 x 1/2;APE RACCORDERIE;3AP1541220
097381604;RACCORDO A GOMITO CON FLANGIA CORTA APE PRESS - 16 x 1/2;APE RACCORDERIE;ARL3503100
097382004;RACCORDO A GOMITO CON FLANGIA CORTA APE PRESS - 20 x 1/2;APE RACCORDERIE;ARL3503200
097391616;RACCORDO A TEE UGUALE APE PRESS - 16 x 16 x 16;APE RACCORDERIE;ARL2200111
097392020;RACCORDO A TEE UGUALE APE PRESS - 20 x 20 x 20;APE RACCORDERIE;ARL2200222
097392626;RACCORDO A TEE UGUALE APE PRESS - 26 x 26 x 26;APE RACCORDERIE;ARL2200333
097393232;RACCORDO A TEE UGUALE APE PRESS - 32 x 32 x 32;APE RACCORDERIE;ARL2200444
097401604;RACCORDO A TEE FEMMINA APE PRESS - 16 x 1/2 x 16;APE RACCORDERIE;ARL2103101
097402004;RACCORDO A TEE FEMMINA APE PRESS - 20 x 1/2 x 20;APE RACCORDERIE;ARL2103202
097402005;RACCORDO A TEE FEMMINA APE PRESS - 20 x 3/4 x 20;APE RACCORDERIE;ARL2104202
097402605;RACCORDO A TEE FEMMINA APE PRESS - 26 x 3/4 x 26;APE RACCORDERIE;ARL2104303
097403206;RACCORDO A TEE FEMMINA APE PRESS - 32 x 1" x 32;APE RACCORDERIE;ARL2110404
097411604;RACCORDO A TEE MASCHIO APE PRESS - 16 x 1/2 x 16;APE RACCORDERIE;ARL2003101
097412605;RACCORDO A TEE MASCHIO APE PRESS - 26 x 3/4 x 26;APE RACCORDERIE;ARL2004303
097413206;RACCORDO A TEE MASCHIO APE PRESS - 32 x 1" x 32;APE RACCORDERIE;ARL2010404
09742162016;RACCORDO A TEE RIDOTTO APE PRESS - 16 x 20 x 16;APE RACCORDERIE;ARL2400121
09742201616;RACCORDO A TEE RIDOTTO APE PRESS - 20 x 16 x 16;APE RACCORDERIE;ARL2400211
09742201620;RACCORDO A TEE RIDOTTO APE PRESS - 20 x 16 x 20;APE RACCORDERIE;ARL2400212
09742202016;RACCORDO A TEE RIDOTTO APE PRESS - 20 x 20 x 16;APE RACCORDERIE;ARL2400221
09742202620;RACCORDO A TEE RIDOTTO APE PRESS - 20 x 26 x 20;APE RACCORDERIE;3APT202620
09742261626;RACCORDO A TEE RIDOTTO APE PRESS - 26 x 16 x 26;APE RACCORDERIE;ARL2400313
09742262020;RACCORDO A TEE RIDOTTO APE PRESS - 26 x 20 x 20;APE RACCORDERIE;ARL2400322
09742262026;RACCORDO A TEE RIDOTTO APE PRESS - 26 x 20 x 26;APE RACCORDERIE;ARL2400323
09742262620;RACCORDO A TEE RIDOTTO APE PRESS - 26 X 26 X 20;APE RACCORDERIE;ARL2400332
09742322032;RACCORDO A TEE RIDOTTO APE PRESS - 32 x 20 x 32;APE RACCORDERIE;ARL2400424
09742322626;RACCORDO A TEE RIDOTTO APE PRESS - 32 x 26 x 26;APE RACCORDERIE;ARL2400433
09742322632;RACCORDO A TEE RIDOTTO APE PRESS - 32 x 26 x 32;APE RACCORDERIE;ARL2400434
097431616;VALVOLA AD INCASSO APE PRESS - 16 x 16;APE RACCORDERIE;3AP1361616C
097432020;VALVOLA AD INCASSO APE PRESS - 20 x 20;APE RACCORDERIE;3AP1362020C
09744;PROLUNGA PER RUBINETTO INCASSO APE PRESS - -;APE RACCORDERIE;3AP136PR12C
09745;SET CAPPUCCIO E ROSONE PER RUBINETTO INCASSO APE PRESS - -;APE RACCORDERIE;3AP136CON-C
0974616;BUSSOLE INOX STRINGITUBO APE PRESS - Ø 16;APE RACCORDERIE;3APSTX16
0974620;BUSSOLE INOX STRINGITUBO APE PRESS - Ø 20;APE RACCORDERIE;3APSTX20
0974626;BUSSOLE INOX STRINGITUBO APE PRESS - Ø 26;APE RACCORDERIE;3APSTX26
0974632;BUSSOLE INOX STRINGITUBO APE PRESS - Ø 32;APE RACCORDERIE;3APSTX32
0975016;TUBO MULTISTRATO NUDO PER GAS - 16 x 2.0;APE RACCORDERIE;9MN021620100GR
0975026;TUBO MULTISTRATO NUDO PER GAS - 26 x 3.0;APE RACCORDERIE;9MN04263050GR
0975216;TUBO MULTISTRATO INGUAINATO PER GAS - 16 x 2.0;APE RACCORDERIE;9CR02162050FG
0975220;TUBO MULTISTRATO INGUAINATO PER GAS - 20 x 2.0;APE RACCORDERIE;9CR03202050FG
0975226;TUBO MULTISTRATO INGUAINATO PER GAS - 26 x 3.0;APE RACCORDERIE;9CR0 4263050FG
097541604;RACCORDO A PRESSARE DIRITTO MASCHIO PER GAS - 16 x 1/2;APE RACCORDERIE;3AP6011216
097542005;RACCORDO A PRESSARE DIRITTO MASCHIO PER GAS - 20 x 3/4;APE RACCORDERIE;3AP6013420
097542605;RACCORDO A PRESSARE DIRITTO MASCHIO PER GAS - 26 x 3/4;APE RACCORDERIE;3AP6013426
097542606;RACCORDO A PRESSARE DIRITTO MASCHIO PER GAS - 26 x 1";APE RACCORDERIE;3AP6010126
097561604;RACCORDO A PRESSARE DIRITTO FEMMINA PER GAS - 16 x 1/2;APE RACCORDERIE;3AP6021216
097562004;RACCORDO A PRESSARE DIRITTO FEMMINA PER GAS - 20 x 1/2;APE RACCORDERIE;3AP6021220
097562005;RACCORDO A PRESSARE DIRITTO FEMMINA PER GAS - 20 x 3/4;APE RACCORDERIE;3AP6023420
097562605;RACCORDO A PRESSARE DIRITTO FEMMINA PER GAS - 26 x 3/4;APE RACCORDERIE;3AP6023426
0975816;RACCORDO A PRESSARE DIRITTO DOPPIO PER GAS - 16 x 16;APE RACCORDERIE;3AP6031616
0975820;RACCORDO A PRESSARE DIRITTO DOPPIO PER GAS - 20 x 20;APE RACCORDERIE;3AP6032020
0975826;RACCORDO A PRESSARE DIRITTO DOPPIO PER GAS - 26 x 26;APE RACCORDERIE;3AP6032626
097592016;RACCORDO A PRESSARE DIRITTO DOPPIO RIDOTTO PER GAS - 20 x 16;APE RACCORDERIE;3AP6032016
097592620;RACCORDO A PRESSARE DIRITTO DOPPIO RIDOTTO PER GAS - 26 x 20;APE RACCORDERIE;3AP6032620
097601604;RACCORDO A PRESSARE CURVO MASCHIO PER GAS - 16 x 1/2;APE RACCORDERIE;3AP6531216
097602004;RACCORDO A PRESSARE CURVO MASCHIO  PER GAS - 20 x 1/2;APE RACCORDERIE;3AP6531220
097602005;RACCORDO A PRESSARE CURVO MASCHIO PER GAS - 20 x 3/4;APE RACCORDERIE;3AP6533420
097602605;RACCORDO A PRESSARE CURVO MASCHIO PER GAS - 26 x 3/4;APE RACCORDERIE;3AP6533426
097611604;RACCORDO CON GIRELLO PER GAS SEDE PIANA (AP 685) - 16 x 1/2;APE RACCORDERIE;3AP6851216
097611605;RACCORDO CON GIRELLO PER GAS SEDE PIANA (AP 685) - 16 x 3/4;APE RACCORDERIE;3AP6853416
097612004;RACCORDO CON GIRELLO PER GAS SEDE PIANA (AP 685) - 20 x 1/2;APE RACCORDERIE;3AP6851220
097612005;RACCORDO CON GIRELLO PER GAS SEDE PIANA (AP 685) - 20 x 3/4;APE RACCORDERIE;3AP6853420
097621604;RACCORDI A PRESSARE CURVO FEMMINA PER GAS - 16 x 1/2;APE RACCORDERIE;3AP6521216
097622004;RACCORDI A PRESSARE CURVO FEMMINA PER GAS - 20 x 1/2;APE RACCORDERIE;3AP6521220
097622005;RACCORDI A PRESSARE CURVO FEMMINA PER GAS - 20 x 3/4;APE RACCORDERIE;3AP6523420
097622605;RACCORDI A PRESSARE CURVO FEMMINA PER GAS - 26 x 3/4;APE RACCORDERIE;3AP6523426
0976416;RACCORDDO A PRESSARE CURVO DOPPIO PER GAS - 16 x 16;APE RACCORDERIE;3AP6510016
0976420;RACCORDDO A PRESSARE CURVO DOPPIO PER GAS - 20 x 20;APE RACCORDERIE;3AP6510020
0976426;RACCORDDO A PRESSARE CURVO DOPPIO PER GAS - 26 x 26;APE RACCORDERIE;3AP6510026
097691605;RACCORDO CON GIRELLO E O-RING PER COLLETTORI - 16 x 3/4;APE RACCORDERIE;3AP6863416
097692005;RACCORDO CON GIRELLO E O-RING PER COLLETTORI - 20 x 3/4;APE RACCORDERIE;3AP6863420
097701604;RACCORDO A PRESSARE CURVO FEMMINA CON FLANGIA PER GAS - 16 x 1/2;APE RACCORDERIE;3AP6541216
097702004;RACCORDO A PRESSARE CURVO FEMMINA CON FLANGIA PER GAS - 20 x 1/2;APE RACCORDERIE;3AP6541220
097721604;RACCORDO A PRESSARE A TEE FEMMINA PER GAS - 16 x 1/2 x 16;APE RACCORDERIE;3AP6321216
097722004;RACCORDO A PRESSARE A TEE FEMMINA PER GAS - 20 x 1/2 x 20;APE RACCORDERIE;3AP6321220
097722005;RACCORDO A PRESSARE A TEE FEMMINA PER GAS - 20 x 3/4 x 20;APE RACCORDERIE;3AP6323420
097722605;RACCORDO A PRESSARE A TEE FEMMINA PER GAS - 26 x 3/4 x 26;APE RACCORDERIE;3AP6323426
0977416;RACCORDO A PRESSARE A TEE UGUALE PER GAS - 16 x 16 x 16;APE RACCORDERIE;3AP631161616
0977420;RACCORDO A PRESSARE A TEE UGUALE PER GAS - 20 x 20 x 20;APE RACCORDERIE;3AP631202020
0977426;RACCORDO A PRESSARE A TEE UGUALE PER GAS - 26 x 26 x 26;APE RACCORDERIE;3AP631262626
7100232;TUBO MULTISTRATO APE  MULTILAYER RIVESTITO 32 x 3,0;APE RACCORDERIE;9MR45323025F
7100416;TUBO MULTISTRATO APE MULTYLAYER PER CONDIZIONAMENTO - 16 x 2,0;APE RACCORDERIE;9MRC02162050F
7100420;TUBO MULTISTRATO APE MULTYLAYER PER CONDIZIONAMENTO - 20 x 2,0;APE RACCORDERIE;9MRC03202050F
7100426;TUBO MULTISTRATO APE MULTYLAYER PER CONDIZIONAMENTO - 26 x 3,0;APE RACCORDERIE;9MRC04263050F
7100432;TUBO MULTISTRATO APE MULTYLAYER PER CONDIZIONAMENTO - 32 x 3,0;APE RACCORDERIE;9MCR45323025F
0620103;RUBINETTO ENOLOGICO OTTONE - 3/8;APM;2020N010
0620104;RUBINETTO ENOLOGICO OTTONE - 1/2;APM;2020N015
0620303;RUBINETTO ENOLOGICO INOX - 3/8;APM;2025N010
0620304;RUBINETTO ENOLOGICO INOX - 1/2;APM;2028C015
0631504;RACCORDO RAPIDO PER RUBINETTI - 3/4;APM;2070.015
0644804;RUBINETTO SCARICO CALDAIA COMANDO A LEVA - 1/2;APM;5845.015
0660504;RACCOGLITORE IMPURITA' Y - 1/2;APM;4500.015
0660505;RACCOGLITORE IMPURITA' Y - 3/4;APM;4500.020
0660506;RACCOGLITORE IMPURITA' Y - 1";APM;4500.025
0660507;RACCOGLITORE IMPURITA' Y - 1"1/4;APM;4500.032
0660508;RACCOGLITORE IMPURITA' Y - 1"1/2;APM;4500.040
0660509;RACCOGLITORE IMPURITA' Y - 2";APM;4500.050
0660704;VALVOLA DI FONDO OTTONE - 1/2;APM;7200.015
0660705;VALVOLA DI FONDO OTTONE - 3/4;APM;7200.020
0660706;VALVOLA DI FONDO OTTONE - 1";APM;7200.025
0660707;VALVOLA DI FONDO OTTONE - 1"1/4;APM;7200.032
0660708;VALVOLA DI FONDO OTTONE - 1"1/2;APM;7200.040
0660709;VALVOLA DI FONDO OTTONE - 2";APM;7200.050
0691304;RACCORDO CURVO NICHELATO IN TRE PEZZI F/M - 1/2;APM;9560015
0691305;RACCORDO CURVO NICHELATO IN TRE PEZZI F/M - 3/4;APM;9560020
0691306;RACCORDO CURVO NICHELATO IN TRE PEZZI F/M - 1";APM;9560025
0691307;RACCORDO CURVO NICHELATO IN TRE PEZZI F/M - 1"1/4;APM;9560032
0691504;RACCORDO DIRITTO NICHELATO IN TRE PEZZI F/M - 1/2;APM;9550015
0691505;RACCORDO DIRITTO NICHELATO IN TRE PEZZI F/M - 3/4;APM;9550020
0691506;RACCORDO DIRITTO NICHELATO IN TRE PEZZI F/M - 1";APM;9550025
0691507;RACCORDO DIRITTO NICHELATO IN TRE PEZZI F/M - 1"1/4;APM;9550032
0691508;RACCORDO DIRITTO NICHELATO IN TRE PEZZI F/M - 1"1/2;APM;9550040
0691509;RACCORDO DIRITTO NICHELATO IN TRE PEZZI F/M - 2";APM;9550050
11690;RIPARA TUTTO AQUAKIT - Gr 0,57;AQUAKIT;A20001
1169211;COLLANTE CONCRETE KIT - Gr 110;AQUAKIT;C21018
1169225;COLLANTE CONCRETE KIT - Gr 220;AQUAKIT;C21017
11694;COLLANTE SUPER PRESSION KIT - Gr 110;AQUAKIT;S20001
1169605;ADESIVO KIT - Gr 50;AQUAKIT;A01004
1169610;ADESIVO KIT - Gr 100;AQUAKIT;A01005
216507070;PIATTO DOCCIA QUADRATO SQUARE H. 4 - 70x70;AQUALIFE;7007002 1
216508080;PIATTO DOCCIA QUADRATO SQUARE H. 4 - 80x80;AQUALIFE;8008002 1
216509090;PIATTO DOCCIA QUADRATO SQUARE H. 4 - 90x90;AQUALIFE;9009002
2165280;PIATTO DOCCIA SEMICIRCOLARE SQUARE H. 4 - 80;AQUALIFE;202800800S1
2165290;PIATTO DOCCIA SEMICIRCOLARE SQUARE H. 4 - 90;AQUALIFE;900900S2
2165470090;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 70x90 Tipo B;AQUALIFE;7009002 1
2165470100;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 70x100 Tipo B;AQUALIFE;70010002 1
2165475170;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 75x170 Tipo C;AQUALIFE;75017002
2165475175;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 75x175 Tipo C;AQUALIFE;75017502
2165480100;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 80x100 Tipo B;AQUALIFE;80010002 1
2165480120;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 80x120 Tipo B;AQUALIFE;80012002 1
2165480140;PIATTO DOCCIA RETTANGOLARE SQUARE H. 4 - 80x140 Tipo B;AQUALIFE;80014002 1
5009102;CLIMATIZZATORE APOLLO SENZA UNITA' ESTERNA - 12 HP - Caldo/Freddo;ARGO;398000761
3000032;CASSETTA DI ISPEZIONE IN PLASTICA - 320 x 260 x 95;ARTECLIMA;66532-66632
3000040;CASSETTA DI ISPEZIONE IN PLASTICA - 400 x 260 x 95;ARTECLIMA;66540-66640
3000050;CASSETTA DI ISPEZIONE IN PLASTICA - 500 x 260 x 95;ARTECLIMA;66550-66650
3000060;CASSETTA DI ISPEZIONE IN PLASTICA - 600 x 260 x 95;ARTECLIMA;66560-66660
3000202;COLLETTORI MODULARI CON ARRESTI MANUALI - MF 3/4 2 Vie;ARTECLIMA;640342
3000203;COLLETTORI MODULARI CON ARRESTI MANUALI - MF 3/4 3 Vie;ARTECLIMA;640343
